customer_id,order_id,order_date,order_time
CUST03503,100170,2025-01-01,12:43:00
CUST21585,100368,2025-01-01,13:38:00
CUST24682,101200,2025-01-01,20:43:00
CUST22560,101601,2025-01-01,21:03:00
CUST21981,102148,2025-01-01,19:21:00
CUST04103,102186,2025-01-01,18:50:00
CUST21276,102478,2025-01-01,21:06:00
CUST07600,102627,2025-01-01,18:37:00
CUST15239,102715,2025-01-01,19:55:00
CUST04806,102725,2025-01-01,17:38:00
CUST19746,103610,2025-01-01,22:13:00
CUST08409,103794,2025-01-01,20:11:00
CUST24113,103858,2025-01-01,10:04:00
CUST11336,104185,2025-01-01,14:27:00
CUST01311,104546,2025-01-01,17:36:00
CUST03863,104551,2025-01-01,20:03:00
CUST09534,105869,2025-01-01,10:51:00
CUST12705,106093,2025-01-01,15:51:00
CUST07115,106162,2025-01-01,10:54:00
CUST09877,106207,2025-01-01,19:29:00
CUST03098,106600,2025-01-01,21:49:00
CUST20659,106649,2025-01-01,17:17:00
CUST03802,107146,2025-01-01,14:10:00
CUST04060,107152,2025-01-01,16:53:00
CUST10617,107565,2025-01-01,14:31:00
CUST04602,108152,2025-01-01,20:07:00
CUST16131,108200,2025-01-01,18:54:00
CUST21443,108283,2025-01-01,19:52:00
CUST19288,108403,2025-01-01,21:14:00
CUST14947,108656,2025-01-01,21:54:00
CUST21028,109317,2025-01-01,10:23:00
CUST22793,109357,2025-01-01,17:42:00
CUST13485,109551,2025-01-01,10:23:00
CUST11658,109561,2025-01-01,14:37:00
CUST04784,109630,2025-01-01,15:06:00
CUST21235,110265,2025-01-01,15:36:00
CUST19498,110383,2025-01-01,19:10:00
CUST10193,110729,2025-01-01,19:23:00
CUST06687,111862,2025-01-01,17:05:00
CUST15156,112519,2025-01-01,11:01:00
CUST06572,114369,2025-01-01,15:58:00
CUST22562,114819,2025-01-01,14:14:00
CUST05761,114932,2025-01-01,14:23:00
CUST14963,115016,2025-01-01,21:35:00
CUST10096,115126,2025-01-01,17:08:00
CUST13126,115741,2025-01-01,10:19:00
CUST08982,115743,2025-01-01,12:17:00
CUST21111,116518,2025-01-01,13:17:00
CUST18020,116578,2025-01-01,22:56:00
CUST03847,117090,2025-01-01,20:01:00
CUST19955,117247,2025-01-01,20:58:00
CUST07500,117948,2025-01-01,21:42:00
CUST18424,118062,2025-01-01,19:15:00
CUST15473,118282,2025-01-01,15:54:00
CUST21476,118346,2025-01-01,13:06:00
CUST09462,118568,2025-01-01,11:53:00
CUST15082,118835,2025-01-01,20:45:00
CUST12198,119539,2025-01-01,10:06:00
CUST16537,119543,2025-01-01,12:26:00
