customer_id,order_id,store_id,city
CUST03503,100170,ST037,Hyderabad
CUST21585,100368,ST024,Delhi
CUST24682,101200,ST022,Jaipur
CUST22560,101601,ST020,Delhi
CUST21981,102148,ST013,Pune
CUST04103,102186,ST018,Chennai
CUST21276,102478,ST050,Pune
CUST07600,102627,ST034,Chennai
CUST15239,102715,ST025,Delhi
CUST04806,102725,ST010,Ghaziabad
CUST19746,103610,ST040,Ghaziabad
CUST08409,103794,ST011,Chennai
CUST24113,103858,ST039,Jaipur
CUST11336,104185,ST040,Gurugram
CUST01311,104546,ST047,Hyderabad
CUST03863,104551,ST006,Bengaluru
CUST09534,105869,ST039,Hyderabad
CUST12705,106093,ST001,Bengaluru
CUST07115,106162,ST001,Hyderabad
CUST09877,106207,ST034,Noida
CUST03098,106600,ST011,Jaipur
CUST20659,106649,ST044,Chennai
CUST03802,107146,ST028,Mumbai
CUST04060,107152,ST024,Mumbai
CUST10617,107565,ST025,Gurugram
CUST04602,108152,ST036,Ghaziabad
CUST16131,108200,ST001,Ghaziabad
CUST21443,108283,ST035,Pune
CUST19288,108403,ST016,Ghaziabad
CUST14947,108656,ST007,Noida
CUST21028,109317,ST050,Ghaziabad
CUST22793,109357,ST021,Jaipur
CUST13485,109551,ST026,Ghaziabad
CUST11658,109561,ST025,Chennai
CUST04784,109630,ST039,Chennai
CUST21235,110265,ST032,Ghaziabad
CUST19498,110383,ST016,Ghaziabad
CUST10193,110729,ST002,Ghaziabad
CUST06687,111862,ST019,Bengaluru
CUST15156,112519,ST015,Hyderabad
CUST06572,114369,ST046,Delhi
CUST22562,114819,ST004,Hyderabad
CUST05761,114932,ST004,Delhi
CUST14963,115016,ST034,Hyderabad
CUST10096,115126,ST025,Gurugram
CUST13126,115741,ST040,Ghaziabad
CUST08982,115743,ST021,Hyderabad
CUST21111,116518,ST024,Hyderabad
CUST18020,116578,ST045,Noida
CUST03847,117090,ST023,Hyderabad
CUST19955,117247,ST035,Delhi
CUST07500,117948,ST015,Gurugram
CUST18424,118062,ST022,Bengaluru
CUST15473,118282,ST014,Ghaziabad
CUST21476,118346,ST023,Jaipur
CUST09462,118568,ST024,Noida
CUST15082,118835,ST026,Bengaluru
CUST12198,119539,ST007,Hyderabad
CUST16537,119543,ST024,Delhi
CUST24965,119728,ST033,Jaipur
CUST07087,120455,ST016,Gurugram
CUST16357,120734,ST049,Jaipur
CUST17756,120826,ST028,Hyderabad
CUST20645,121571,ST020,Chennai
CUST20717,121836,ST044,Mumbai
CUST24418,122061,ST011,Jaipur
CUST15226,122311,ST026,Gurugram
CUST18354,122604,ST021,Noida
CUST22721,122621,ST019,Pune
CUST20904,122697,ST001,Noida
CUST14651,123419,ST010,Chennai
CUST21310,123527,ST012,Jaipur
CUST07516,123978,ST009,Chennai
CUST14107,124556,ST022,Pune
CUST01766,125092,ST024,Mumbai
CUST19399,125133,ST033,Hyderabad
CUST01909,125430,ST044,Ghaziabad
CUST09147,125786,ST029,Chennai
CUST18380,126715,ST050,Mumbai
CUST14638,127110,ST011,Pune
CUST12513,127583,ST045,Pune
CUST04466,127717,ST030,Noida
CUST16559,128070,ST008,Pune
CUST05731,128276,ST048,Chennai
CUST14346,128756,ST026,Jaipur
CUST07213,129189,ST010,Jaipur
CUST12251,129629,ST013,Hyderabad
CUST22749,129775,ST028,Ghaziabad
CUST17715,130156,ST004,Bengaluru
CUST24335,130239,ST003,Delhi
CUST02731,130944,ST009,Pune
CUST22572,131561,ST002,Bengaluru
CUST14679,131993,ST026,Chennai
CUST07420,131999,ST025,Delhi
CUST11528,132597,ST017,Noida
CUST03096,133242,ST019,Jaipur
CUST24746,133370,ST039,Ghaziabad
CUST17622,133595,ST045,Delhi
CUST03934,133732,ST006,Hyderabad
CUST15179,134066,ST015,Mumbai
CUST19702,134176,ST050,Gurugram
CUST22701,134391,ST040,Mumbai
CUST09316,134695,ST047,Bengaluru
CUST02570,134938,ST020,Bengaluru
CUST20139,135086,ST045,Chennai
CUST10731,135143,ST030,Delhi
CUST24640,135225,ST012,Pune
CUST07791,135451,ST045,Hyderabad
CUST18363,135879,ST031,Jaipur
CUST17872,136464,ST030,Jaipur
CUST17968,136577,ST049,Chennai
CUST20252,136871,ST043,Delhi
CUST22072,136947,ST031,Ghaziabad
CUST03552,137608,ST039,Delhi
CUST20907,137675,ST013,Ghaziabad
CUST14175,138429,ST030,Jaipur
CUST07592,138828,ST039,Chennai
CUST20529,139115,ST012,Hyderabad
CUST12340,139668,ST042,Pune
CUST13033,140006,ST023,Delhi
CUST15953,140007,ST034,Delhi
CUST20968,140210,ST006,Mumbai
CUST15414,140992,ST026,Ghaziabad
CUST22433,141835,ST007,Jaipur
CUST22578,141965,ST025,Pune
CUST18731,142102,ST003,Mumbai
CUST14661,142699,ST035,Jaipur
CUST15805,143693,ST003,Gurugram
CUST17340,144401,ST009,Delhi
CUST18231,144660,ST019,Hyderabad
CUST19313,145588,ST016,Ghaziabad
CUST09391,145671,ST002,Hyderabad
CUST10551,146123,ST036,Hyderabad
CUST18458,146170,ST008,Chennai
CUST22008,146293,ST020,Bengaluru
CUST09550,146963,ST004,Jaipur
CUST11149,147238,ST020,Ghaziabad
CUST20611,147548,ST034,Delhi
CUST07106,148406,ST038,Mumbai
CUST11538,148984,ST005,Delhi
CUST07926,149429,ST044,Pune
CUST17369,149542,ST038,Hyderabad
CUST14671,149585,ST015,Jaipur
CUST10840,149765,ST049,Chennai
CUST01890,149832,ST024,Ghaziabad
CUST09300,100055,ST034,Chennai
